operating_name,first_category_vendor,First_Category,first_endorsements,first_issued,last_date_opname,last_ward_id,Count of ward_id,Years_Operation,last_latitude,last_longitude,    Average total income in 2020 among recipients ($),    Employed,    Median total income in 2020 among recipients ($),    Unemployed,  Average total income of one-person households in 2020 ($),  In the labour force,  Median total income of one-person households in 2020 ($),  Not in the labour force,Area (sq km),Meadian age,population between  15 and 19,Population over 20 and less than 54,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total population,Unemployment rate
Dairy Bell,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1976-04-09 0:00,2023-07-09 0:00,11,4,47.25,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Fakhri, Alireza",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1992-06-02 0:00,2015-07-02 0:00,21,2,23.08,43.75133851,-79.30111804,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Illes, Ferenc",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2004-06-24 0:00,2018-09-06 0:00,4,2,14.25,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Jabbar, Majid",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2010-12-31 0:00,2024-02-01 0:00,20,2,13.17,43.69573518,-79.26414944,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Kazanis, Stratos",motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,1983-06-03 0:00,2024-02-01 0:00,3,2,40.67,43.60125151,-79.53964363,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Kovatchev, Stanka",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2000-06-07 0:00,2011-02-27 0:00,1,2,10.67,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Marinova, Daniela A",non-motorized refreshment vehicle owner,Canadian Cuisine,rv - non-motorized - propane heater;,2000-04-12 0:00,2022-08-01 0:00,5,2,22.33,43.67461905,-79.48348027,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Marinova, Tanja",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1994-05-05 0:00,2024-02-01 0:00,5,2,29.75,43.67461905,-79.48348027,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Navaratnam, Shantharuban",mobile vending (food truck),,mobile vending (food truck) 9-month;,2015-05-14 0:00,2020-09-22 0:00,4,2,5.33,43.6501631,-79.4798903,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Norouzi, Mansour",motorized refreshment vehicle owner,,rv - motorized - ice cream;,1995-11-13 0:00,2007-01-12 0:00,12,2,11.17,43.69173393,-79.43080797,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
"Business Of: Parvazi, Ghorban-Ali",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1999-05-06 0:00,2017-10-24 0:00,17,2,18.42,43.80171346,-79.35826405,50880,51425,37200,8630,60150,60060,48000,38375,24.42064193785486,40.4,5090,57315,98425,112590,14.4
"Business Of: Piroti, Mohammad",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-10-06 0:00,2024-02-01 0:00,21,2,20.33,43.74664753,-79.23195384,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Putkowski, Jan Zbigniew",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-05-20 0:00,2020-11-03 0:00,9,2,15.5,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
"Business Of: Sarantakos, Poulikos",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1992-03-13 0:00,2005-04-02 0:00,5,2,13.08,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Whalen, Mark S",motorized refreshment vehicle owner,,rv - motorized - propane heater;,2007-08-31 0:00,2012-09-12 0:00,25,2,5.08,43.78776803,-79.15615166,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Corny'S Kitchen,motorized refreshment vehicle owner,Other international food,rv - motorized - propane heater;,2009-02-06 0:00,2024-02-01 0:00,20,2,15,43.72512013,-79.23062686,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Happy Corner,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2019-03-26 0:00,2024-02-01 0:00,5,2,4.92,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
Hawaiian Dairy,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1991-05-17 0:00,2020-11-03 0:00,20,2,29.5,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Kee'S Fine Foods,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - propane heater;,1985-12-19 0:00,2024-02-01 0:00,3,2,38.17,43.63856789,-79.51085288,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
King Of Cones,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1997-04-25 0:00,2024-02-01 0:00,2,2,26.83,43.6662914,-79.52844798,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
Meal Makers,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1974-10-15 0:00,2020-11-03 0:00,15,2,46.08,43.70446238,-79.34818336,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
Mexican Bowl,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - propane heater;,2018-03-20 0:00,2020-10-14 0:00,20,2,2.58,43.7352093,-79.2526647,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Mr Creamy,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1995-06-23 0:00,2009-06-08 0:00,25,2,14,43.80151389,-79.21084478,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Mr Soft & Delight,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2007-07-27 0:00,2024-02-01 0:00,19,2,16.58,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Pancho'S Bakery,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - propane heater;,2013-08-19 0:00,2024-02-01 0:00,11,2,10.5,43.65474211,-79.4023494,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Pauls Coffee Ltd,motorized refreshment vehicle owner,Beverages,rv - motorized - no heater;,2022-05-19 0:00,2024-02-01 0:00,3,2,1.75,43.6308223,-79.47530624,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Per'Se Catering & Events,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2012-07-04 0:00,2016-09-26 0:00,21,2,4.17,43.73098621,-79.30478354,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Racco Industrial Catering Ltd,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,1998-06-29 0:00,2016-01-14 0:00,7,2,17.58,43.7577254,-79.56500551,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
Royal Foods,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2006-03-08 0:00,2013-01-16 0:00,19,2,6.83,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Sam'S Coffee Wagon,motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,1989-08-11 0:00,2007-08-17 0:00,19,2,18,43.70723089,-79.29798489,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Sanny Hotdogs,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2009-09-16 0:00,2024-02-01 0:00,14,2,14.42,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Sprinter Cates,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - no heater;,2020-07-29 0:00,2024-02-01 0:00,3,2,3.58,43.62506754,-79.52377807,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Sweet Summer Soft Icecream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2002-07-26 0:00,2024-02-01 0:00,5,2,21.58,43.70099949,-79.4996135,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
The Food Dudes,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2012-08-14 0:00,2024-02-01 0:00,11,2,11.5,43.66799382,-79.39351277,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
The Poutine Supreme,motorized refreshment vehicle owner,Canadian Cuisine,rv - motorized - propane heater;,2016-12-06 0:00,2024-02-01 0:00,21,2,7.17,43.749517,-79.29922969,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Toben Food By Design,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2017-04-06 0:00,2024-02-01 0:00,8,2,6.83,43.7017135,-79.4539929,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
Toryork Catering,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,1986-05-20 0:00,2010-02-19 0:00,7,2,23.75,43.76235879,-79.56525219,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
Yummy Hotdogs,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2010-07-16 0:00,2024-02-01 0:00,6,2,13.58,43.74749011,-79.44442275,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
"""X"" Treme Ice Cream",motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1998-04-15 0:00,2018-09-10 0:00,21,1,20.42,43.734603,-79.30369087,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
1435943 Ontario,non-motorized refreshment vehicle owner,,rv - trailer - propane heater;,2008-11-05 0:00,2011-02-05 0:00,20,1,2.25,43.72536128,-79.26948299,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
1555184 Ontario,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2003-07-14 0:00,2009-10-14 0:00,25,1,6.25,43.76163908,-79.15684228,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
18 Feet,motorized refreshment vehicle owner,Beverages,rv - motorized - no heater;,2019-06-21 0:00,2020-11-03 0:00,12,1,1.42,43.70048342,-79.4267746,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
1871537 Ontario Inc,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2012-06-22 0:00,2015-09-25 0:00,1,1,3.25,43.71839169,-79.55238169,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
1945261 Ontario Inc,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motor. (not propane/ice cream);,2015-12-31 0:00,2017-04-02 0:00,21,1,1.33,43.74884909,-79.29840147,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
2001309 Ontario Ltd,motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,2001-09-20 0:00,2003-05-02 0:00,5,1,1.67,43.7020282,-79.50133263,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
2182592 Ontario Inc,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2008-08-29 0:00,2011-11-29 0:00,23,1,3.25,43.79878851,-79.22033679,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
2436413 Ontario Corp,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2014-11-03 0:00,2018-02-03 0:00,24,1,3.25,43.7516888,-79.2046058,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
416 Softee,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2017-05-26 0:00,2024-02-01 0:00,2,1,6.75,43.68465922,-79.51396743,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
98 Aroma Restaurant,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - no heater;,2018-02-22 0:00,2021-07-23 0:00,11,1,3.42,43.65700351,-79.40005636,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
A & E Catering Service,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1980-05-12 0:00,2005-04-02 0:00,1,1,24.92,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
A&S Icecream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2019-07-04 0:00,2020-11-03 0:00,2,1,1.33,43.6947315,-79.55470909,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
Aaa Cool Bar,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2013-07-15 0:00,2015-10-15 0:00,23,1,2.25,43.82962499,-79.23574046,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
Acai Dreamzz Imports Inc,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2014-05-28 0:00,2015-08-28 0:00,3,1,1.25,43.62735638,-79.50361988,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Aegean Honey Balls,motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - motorized - propane heater;,2018-03-06 0:00,2022-06-05 0:00,16,1,4.25,43.71134209,-79.32278527,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
African Springs,non-motorized refreshment vehicle owner,Beverages,rv - non-motor. (not propane/ice cream);,2004-05-18 0:00,2005-07-01 0:00,11,1,1.17,43.6655986,-79.4150349,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Ag Group,non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2009-09-10 0:00,2010-12-11 0:00,25,1,1.25,43.7969621,-79.15374466,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Alijandros Food Truck,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - propane heater;,2017-03-09 0:00,2018-06-09 0:00,10,1,1.25,43.64152497,-79.39726033,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Ali'S Wraps,motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - motorized - propane heater;,2014-07-04 0:00,2024-02-01 0:00,21,1,9.58,43.7359563,-79.30127722,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Amsterdam Fries,non-motorized refreshment vehicle owner,Canadian Cuisine,rv - non-motorized - propane heater;,2022-10-27 0:00,2024-01-25 0:00,14,1,1.25,43.67119851,-79.3251747,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Andy Petrus Snack Truck,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1993-12-02 0:00,2005-02-11 0:00,3,1,11.17,43.60522155,-79.50349528,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Anna Kozak,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-04-07 0:00,2024-02-01 0:00,5,1,20.83,43.70655695,-79.51742037,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
Anna'S Food Service,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1996-04-26 0:00,2018-07-27 0:00,9,1,22.25,43.66189531,-79.45200857,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Antz Ice Cream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2008-04-18 0:00,2009-08-19 0:00,23,1,1.33,43.79411889,-79.26559072,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
Apa'S Kitchen,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2017-06-02 0:00,2019-09-02 0:00,21,1,2.25,43.7406979,-79.269385,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Art Gallery Of Ontario,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2014-07-23 0:00,2015-10-23 0:00,10,1,1.25,43.65352011,-79.39257299,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Asian Food Market,non-motorized refreshment vehicle owner,Asian Cuisine,rv - non-motorized - propane heater;,2009-01-20 0:00,2012-04-21 0:00,20,1,3.25,43.69573518,-79.26414944,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Avalanche Rush,motorized refreshment vehicle owner,,rv - motorized - ice cream;,2003-08-22 0:00,2005-07-01 0:00,6,1,1.92,43.76573603,-79.48918963,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
Azam Arab,non-motorized refreshment vehicle owner,Canadian Cuisine,rv - non-motorized - propane heater;,2013-10-29 0:00,2015-01-29 0:00,11,1,1.25,43.66348961,-79.39939303,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Azim Dewji,motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,2004-08-19 0:00,2005-11-19 0:00,19,1,1.25,43.69166266,-79.31139705,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
B Good Canada,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2014-06-19 0:00,2016-09-19 0:00,10,1,2.25,43.6475905,-79.40100812,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Badlands Mesquite Ltd,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - no heater;,2016-09-09 0:00,2017-12-10 0:00,9,1,1.25,43.6516906,-79.43779923,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Baisley,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2009-08-10 0:00,2010-11-10 0:00,5,1,1.25,43.71349275,-79.48787286,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
Bam,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2017-07-17 0:00,2018-10-17 0:00,10,1,1.25,43.63916279,-79.41918914,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Bangkok Garden,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - propane heater;,2020-10-21 0:00,2023-01-20 0:00,11,1,2.25,43.65789522,-79.38274647,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Banjara Indian Cusine,motorized refreshment vehicle owner,Indian Cuisine,rv - motorized - propane heater;,2018-07-06 0:00,2020-11-03 0:00,11,1,2.33,43.66315101,-79.42191971,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Banshee Dawgs,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2015-03-12 0:00,2018-01-30 0:00,3,1,2.83,43.63825428,-79.53984303,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Bar Ape,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2014-07-25 0:00,2019-08-29 0:00,12,1,5.08,43.68439209,-79.42578151,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
Baranyi Robertne Corp,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2014-05-23 0:00,2016-09-11 0:00,7,1,2.33,43.75442411,-79.51019322,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
Barker & Snouts,non-motorized refreshment vehicle owner,,rv - non-motorized - ice cream;,2018-04-03 0:00,2019-07-04 0:00,8,1,1.25,43.73301287,-79.41769401,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
Bbq Pit Catering & Special Events,non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - propane heater;,2014-08-01 0:00,2015-11-01 0:00,6,1,1.25,43.74016744,-79.50610635,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
Be Good Gelato,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2015-05-07 0:00,2018-08-07 0:00,14,1,3.25,43.66827641,-79.35024606,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
